Universidade;Estado;Ranking;"Pública ou Privada";"Posição em Ensino";"Nota em Ensino";"Posição em Pesquisa";"Nota em Pesquisa";"Posição em Mercado";"Nota em Mercado";"Posição em Inovação";"Nota em Inovação";"Posição em Internacionalização";"Nota em Internacionalização";Nota
"Universidade de São Paulo";SP;1;Estadual;3;31.29;1;41.71;1;18;1;3.89;1;3.96;98.85
"Universidade Estadual de Campinas";SP;2;Estadual;1;31.76;2;41.51;7;17.45;7;3.6;3;3.88;98.2
"Universidade Federal do Rio Grande do Sul";RS;3;Federal;2;31.32;3;40.82;13;16.9;9;3.49;5;3.76;96.29
"Universidade Federal do Rio de Janeiro";RJ;4;Federal;6;30.84;8;39.9;4;17.73;2;3.87;5;3.76;96.1
"Universidade Federal de Minas Gerais";MG;5;Federal;12;29.84;4;40.58;2;17.91;5;3.65;12;3.59;95.57
"Universidade Estadual Paulista Júlio de Mesquita Filho";SP;6;Estadual;5;30.85;6;40.26;7;17.45;21;3.17;9;3.65;95.38
"Universidade Federal de Santa Catarina";SC;7;Federal;4;30.99;7;39.99;25;15.81;12;3.38;8;3.68;93.85
"Universidade Federal do Paraná";PR;8;Federal;11;29.97;11;38.41;13;16.9;4;3.66;21;3.38;92.32
"Universidade de Brasília";DF;9;Federal;7;30.81;10;38.52;22;16.08;20;3.2;10;3.61;92.22
"Universidade Federal de Pernambuco";PE;10;Federal;13;29.72;19;36.69;9;17.27;19;3.23;32;3.21;90.12
"Universidade Federal de São Carlos";SP;11;Federal;8;30.53;9;39.15;50;13.52;36;2.87;17;3.46;89.53
"Universidade Federal de São Paulo";SP;12;Federal;9;30.27;5;40.56;87;10.14;30;3;4;3.83;87.8
"Universidade Federal Fluminense";RJ;13;Federal;14;29.59;28;35.14;16;16.63;25;3.1;42;3.05;87.51
"Universidade Federal de Viçosa";MG;14;Federal;10;30.04;12;38.18;65;12.15;3;3.68;38;3.1;87.15
"Universidade Federal do Rio Grande do Norte";RN;15;Federal;21;27.27;13;37.68;28;15.53;34;2.88;16;3.47;86.83
"Universidade Federal da Bahia";BA;16;Federal;29;26.4;22;36.53;9;17.27;16;3.3;33;3.2;86.7
"Universidade Federal do Ceará";CE;17;Federal;27;26.45;18;37.13;16;16.63;29;3.01;18;3.45;86.67
"Universidade Federal de Uberlândia";MG;18;Federal;17;28.7;20;36.65;40;14.44;14;3.35;49;2.93;86.07
"Pontifícia Universidade Católica do Rio Grande do Sul";RS;19;Privada;37;25.21;16;37.18;16;16.63;18;3.26;14;3.55;85.83
"Universidade do Estado do Rio de Janeiro";RJ;20;Estadual;30;26.38;26;35.67;9;17.27;21;3.17;30;3.25;85.74
"Universidade Federal de Goiás";GO;21;Federal;22;27.25;31;34.77;16;16.63;28;3.02;51;2.89;84.56
"Universidade Federal de Santa Maria";RS;22;Federal;16;28.99;14;37.51;65;12.15;47;2.62;38;3.1;84.37
"Universidade Estadual de Maringá";PR;23;Estadual;18;27.81;24;36.18;40;14.44;51;2.58;54;2.83;83.84
"Universidade Federal do Espírito Santo";ES;24;Federal;33;25.61;25;35.81;28;15.53;10;3.46;26;3.29;83.7
"Pontifícia Universidade Católica do Rio de Janeiro";RJ;25;Privada;36;25.21;27;35.37;28;15.53;14;3.35;7;3.69;83.15
"Universidade Estadual de Londrina";PR;26;Estadual;31;26.14;33;33.78;28;15.53;41;2.79;54;2.83;81.07
"Universidade Federal de Juiz de Fora";MG;27;Federal;28;26.45;29;34.84;50;13.52;39;2.84;29;3.26;80.91
"Universidade Federal de Lavras";MG;28;Federal;15;29.02;21;36.56;104;8.59;12;3.38;46;2.97;80.52
"Universidade Federal do Pará";PA;29;Federal;40;24.95;38;33.23;25;15.81;6;3.62;53;2.85;80.46
"Universidade Federal de Sergipe";SE;30;Federal;43;24.56;30;34.83;40;14.44;17;3.27;36;3.14;80.24
"Universidade Federal da Paraíba";PB;31;Federal;23;27.09;37;33.51;40;14.44;59;2.47;65;2.67;80.18
"Pontifícia Universidade Católica do Paraná";PR;32;Privada;44;24.41;45;31.41;13;16.9;8;3.52;24;3.32;79.56
"Universidade do Vale do Rio dos Sinos";RS;33;Privada;51;23.05;41;32.82;22;16.08;70;2.33;44;3;77.28
"Universidade Federal do Piauí";PI;34;Federal;35;25.23;47;30.94;40;14.44;76;2.16;65;2.67;75.44
"Universidade Federal de Pelotas";RS;35;Federal;47;23.77;15;37.39;120;7.13;37;2.86;27;3.28;74.43
"Universidade Estadual de Ponta Grossa";PR;36;Estadual;41;24.93;39;33.02;87;10.14;57;2.48;40;3.08;73.65
"Universidade Federal de Mato Grosso";MT;37;Federal;38;25.13;54;29.45;40;14.44;86;2.01;80;2.41;73.44
"Universidade Presbiteriana Mackenzie";SP;38;Privada;41;24.93;71;25.56;5;17.64;72;2.24;49;2.93;73.3
"Fundação Universidade Federal do ABC";SP;39;Federal;20;27.43;17;37.14;176;2.01;61;2.43;2;3.91;72.92
"Universidade Federal de Mato Grosso do Sul";MS;40;Federal;57;21.97;44;31.42;50;13.52;50;2.59;62;2.7;72.2
"Universidade Federal de Ouro Preto";MG;41;Federal;25;26.69;36;33.69;139;5.39;24;3.11;54;2.83;71.71
"Universidade Federal de Alagoas";AL;42;Federal;64;20.98;51;30.1;35;14.89;65;2.4;61;2.74;71.11
"Universidade Tecnológica Federal do Paraná";PR;43;Federal;19;27.65;54;29.45;104;8.59;32;2.94;79;2.43;71.06
"Universidade Estadual do Norte Fluminense Darcy Ribeiro";RJ;44;Estadual;32;25.96;23;36.29;176;2.01;31;2.96;42;3.05;70.27
"Fundação Universidade do Estado de Santa Catarina";SC;45;Estadual;52;22.53;43;31.55;73;11.42;59;2.47;94;2.17;70.14
"Universidade Federal Rural do Rio de Janeiro";RJ;46;Federal;39;25.09;48;30.9;104;8.59;54;2.52;91;2.2;69.3
"Universidade Federal de Itajubá";MG;47;Federal;34;25.58;34;33.75;168;2.74;26;3.07;34;3.18;68.32
"Universidade de Fortaleza";CE;48;Privada;73;20.24;68;26.75;25;15.81;83;2.08;19;3.42;68.3
"Universidade Federal de Campina Grande";PB;49;Federal;46;23.97;56;28.95;87;10.14;23;3.16;118;1.68;67.9
"Universidade de Pernambuco";PE;50;Estadual;106;15.81;46;31.27;40;14.44;78;2.14;13;3.56;67.22
"Universidade de Caxias do Sul";RS;51;Privada;75;19.67;62;27.51;50;13.52;11;3.43;82;2.33;66.46
"Universidade Federal do Triângulo Mineiro";MG;52;Federal;24;26.83;49;30.77;154;4.02;112;1.61;31;3.22;66.45
"Universidade Estadual de Santa Cruz";BA;53;Estadual;63;21.17;53;29.53;87;10.14;53;2.57;44;3;66.41
"Universidade Federal do Maranhão";MA;54;Federal;62;21.33;62;27.51;50;13.52;84;2.05;102;1.99;66.4
"Universidade Federal do Amazonas";AM;55;Federal;72;20.27;61;27.66;50;13.52;75;2.2;77;2.44;66.09
"Universidade Estadual do Oeste do Paraná";PR;56;Estadual;45;24.26;64;27.43;87;10.14;46;2.64;133;1.46;65.93
"Universidade Federal de São João Del Rei";MG;57;Federal;56;21.98;42;32.49;139;5.39;47;2.62;20;3.39;65.87
"Universidade Federal Rural de Pernambuco";PE;58;Federal;53;22.26;40;32.84;139;5.39;44;2.71;82;2.33;65.53
"Universidade Estadual do Ceará";CE;59;Estadual;68;20.65;67;27.01;50;13.52;99;1.84;96;2.13;65.15
"Universidade Estadual de Feira de Santana";BA;60;Estadual;49;23.49;59;27.68;104;8.59;63;2.42;64;2.68;64.86
"Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";RS;61;Federal;50;23.43;35;33.71;176;2.01;120;1.49;59;2.79;63.43
"Pontifícia Universidade Católica de Minas Gerais";MG;62;Privada;55;22.18;110;19.01;5;17.64;33;2.91;127;1.56;63.3
"Universidade Federal do Rio Grande";RS;63;Federal;59;21.76;32;33.94;168;2.74;102;1.81;48;2.94;63.19
"Pontifícia Universidade Católica de São Paulo";SP;64;Privada;26;26.68;118;17.85;9;17.27;168;0.47;172;0.8;63.07
"Pontifícia Universidade Católica de Campinas";SP;65;Privada;58;21.83;96;20.5;22;16.08;95;1.95;143;1.32;61.68
"Universidade Federal do Estado do Rio de Janeiro";RJ;66;Federal;48;23.77;58;28.09;139;5.39;104;1.77;84;2.31;61.33
"Universidade Católica de Brasília";DF;67;Privada;148;11.01;50;30.13;50;13.52;38;2.85;10;3.61;61.12
"Universidade Federal de Alfenas";MG;68;Federal;54;22.25;52;29.96;154;4.02;77;2.15;87;2.26;60.64
"Universidade de Passo Fundo";RS;69;Privada;89;17.68;59;27.68;87;10.14;103;1.8;69;2.61;59.91
"Universidade Positivo";PR;70;Privada;65;20.91;105;19.3;40;14.44;67;2.37;52;2.86;59.88
"Universidade Nove de Julho";SP;71;Privada;80;19.17;88;22.09;28;15.53;161;0.59;108;1.91;59.29
"Universidade Tiradentes";SE;72;Privada;93;16.71;82;22.88;50;13.52;57;2.48;57;2.82;58.41
"Universidade Católica Dom Bosco";MS;73;Privada;150;10.93;65;27.3;50;13.52;107;1.71;24;3.32;56.78
"Fundação Universidade Federal da Grande Dourados";MS;74;Federal;67;20.85;57;28.17;154;4.02;106;1.76;111;1.8;56.6
"Universidade Regional de Blumenau";SC;75;Municipal;109;15.59;79;23.78;65;12.15;40;2.8;109;1.86;56.18
"Universidade de Ribeirão Preto";SP;76;Privada;70;20.46;104;19.34;73;11.42;71;2.29;68;2.62;56.13
"Universidade Luterana do Brasil";RS;77;Privada;107;15.79;78;24.09;73;11.42;81;2.1;87;2.26;55.66
"Universidade Paulista";SP;78;Privada;79;19.18;132;15.15;2;17.91;145;0.96;113;1.75;54.95
"Universidade do Extremo Sul Catarinense";SC;79;Privada;126;14.42;76;24.6;87;10.14;119;1.5;37;3.11;53.77
"Universidade do Estado da Bahia";BA;80;Estadual;71;20.3;128;15.9;28;15.53;131;1.17;174;0.76;53.66
"Universidade do Sul de Santa Catarina";SC;81;Privada;125;14.49;83;22.65;65;12.15;116;1.56;63;2.69;53.54
"Universidade Estadual de Montes Claros";MG;82;Estadual;118;14.79;69;26.74;104;8.59;128;1.19;98;2.11;53.42
"Universidade do Vale do Itajaí";SC;83;Privada;66;20.88;122;17.43;65;12.15;139;1.1;123;1.62;53.18
"Fundação Universidade Federal do Vale do São Francisco";PE;84;Federal;96;16.52;72;25.37;120;7.13;74;2.23;118;1.68;52.93
"Universidade de Sorocaba";SP;85;Privada;121;14.69;90;21.68;87;10.14;43;2.76;23;3.33;52.6
"Universidade Estácio de Sá";RJ;86;Privada;86;18.03;133;15.03;16;16.63;121;1.41;145;1.29;52.39
"Universidade Federal Rural do Semi-árido";RN;87;Federal;60;21.72;73;25.24;168;2.74;122;1.37;156;1.13;52.2
"Universidade do Oeste Paulista";SP;88;Privada;74;20.21;108;19.06;87;10.14;144;0.97;129;1.55;51.93
"Universidade Estadual do Centro Oeste";PR;89;Estadual;61;21.55;107;19.19;120;7.13;27;3.06;163;0.94;51.87
"Universidade do Estado do Amazonas";AM;90;Estadual;137;12.6;81;22.97;73;11.42;89;2;60;2.75;51.74
"Universidade de Franca";SP;91;Privada;112;15.3;99;20.05;50;13.52;158;0.71;115;1.74;51.32
"Universidade Católica de Pernambuco";PE;92;Privada;83;18.45;127;16.05;35;14.89;160;0.64;151;1.2;51.23
"Fundação Universidade Federal do Pampa";RS;93;Federal;77;19.56;75;24.97;168;2.74;101;1.82;100;2.07;51.16
"Universidade Feevale";RS;94;Privada;95;16.58;100;20;73;11.42;124;1.33;151;1.2;50.53
"Universidade Católica de Pelotas";RS;95;Privada;127;14.22;66;27.13;139;5.39;181;0.21;15;3.52;50.47
"Universidade Estadual do Sudoeste da Bahia";BA;96;Estadual;113;15.14;85;22.53;104;8.59;89;2;113;1.75;50.01
"Universidade Federal dos Vales do Jequitinhonha e Mucuri";MG;97;Federal;102;16.06;70;26.35;168;2.74;45;2.67;105;1.96;49.78
"Universidade Vila Velha";ES;98;Privada;139;12.5;91;21.26;73;11.42;99;1.84;69;2.61;49.63
"Universidade Metodista de Piracicaba";SP;99;Privada;108;15.6;113;18.9;65;12.15;184;0.16;73;2.5;49.31
"Fundação Universidade Federal de Rondônia";RO;100;Federal;78;19.48;120;17.74;104;8.59;91;1.99;136;1.41;49.21
"Universidade do Grande Rio Professor José de Souza Herdy";RJ;101;Privada;123;14.6;111;18.97;73;11.42;127;1.23;74;2.49;48.71
"Fundação Universidade Federal do Tocantins";TO;102;Federal;117;14.83;89;21.91;104;8.59;80;2.13;157;1.12;48.58
"Pontifícia Universidade Católica de Goiás";GO;103;Privada;92;17.06;150;11.64;16;16.63;61;2.43;191;0.42;48.18
"Universidade Estadual da Paraíba";PB;104;Estadual;128;14.14;101;19.92;87;10.14;114;1.58;148;1.25;47.03
"Universidade São Francisco";SP;105;Privada;114;15.02;98;20.38;104;8.59;174;0.29;72;2.52;46.8
"Universidade La Salle";RS;106;Privada;138;12.56;80;23.59;139;5.39;155;0.73;34;3.18;45.45
"Universidade Cruzeiro do Sul";SP;107;Privada;129;14.12;116;18.01;87;10.14;189;0.12;58;2.81;45.2
"Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado";MT;108;Estadual;94;16.64;115;18.03;120;7.13;93;1.97;135;1.42;45.19
"Universidade São Judas Tadeu";SP;109;Privada;82;18.51;159;9.54;40;14.44;174;0.29;104;1.98;44.76
"Universidade Santa Cecília";SP;110;Privada;84;18.11;143;12.56;104;8.59;34;2.88;77;2.44;44.58
"Universidade Salvador";BA;111;Privada;119;14.74;152;11.17;35;14.89;133;1.15;69;2.61;44.56
"Universidade Estadual de Mato Grosso do Sul";MS;112;Estadual;98;16.33;92;21.1;168;2.74;64;2.41;120;1.67;44.25
"Universidade Anhembi Morumbi";SP;113;Privada;69;20.51;172;7.7;35;14.89;166;0.48;190;0.47;44.05
"Universidade Federal do Recôncavo da Bahia";BA;114;Federal;120;14.7;94;21.07;154;4.02;51;2.58;154;1.19;43.56
"Universidade Federal da Fronteira Sul";SC;115;Federal;76;19.66;106;19.29;176;2.01;141;1.06;146;1.27;43.29
"Universidade Universus Veritas Guarulhos";SP;116;Privada;162;9.11;97;20.4;104;8.59;98;1.85;27;3.28;43.23
"Universidade Regional do Cariri";CE;117;Estadual;136;12.64;86;22.23;139;5.39;153;0.76;102;1.99;43.01
"Universidade da Região de Joinville";SC;118;Privada;101;16.21;142;12.6;73;11.42;135;1.14;124;1.61;42.98
"Universidade do Estado do Pará";PA;119;Estadual;156;10.22;124;16.96;73;11.42;66;2.39;139;1.39;42.38
"Universidade do Vale do Taquari";RS;120;Privada;140;12.46;84;22.62;154;4.02;148;0.86;84;2.31;42.27
"Universidade do Oeste de Santa Catarina";SC;121;Privada;97;16.38;145;12.35;73;11.42;140;1.09;162;0.95;42.19
"Universidade do Vale do Paraíba";SP;122;Privada;155;10.26;87;22.21;154;4.02;55;2.51;47;2.95;41.95
"Universidade Cidade de São Paulo";SP;123;Privada;159;9.53;109;19.02;87;10.14;184;0.16;41;3.06;41.91
"Universidade de Santa Cruz do Sul";RS;124;Privada;152;10.84;103;19.48;104;8.59;147;0.88;142;1.33;41.12
"Universidade Federal do Acre";AC;125;Federal;130;13.98;95;20.67;176;2.01;81;2.1;87;2.26;41.02
"Universidade Cesumar";PR;126;Privada;90;17.27;168;8.51;50;13.52;178;0.26;140;1.38;40.94
"Universidade Estadual do Piauí";PI;127;Estadual;81;19.12;167;8.68;65;12.15;173;0.39;186;0.57;40.91
"Universidade Pitágoras Unopar Anhanguera";PR;128;Privada;164;8.98;139;13.68;35;14.89;113;1.59;130;1.52;40.66
"Universidade Federal Rural da Amazônia";PA;129;Federal;161;9.18;77;24.4;176;2.01;42;2.78;116;1.69;40.06
"Universidade Estadual de Goiás";GO;130;Estadual;145;11.83;135;14.78;87;10.14;69;2.35;164;0.92;40.02
"Universidade Veiga de Almeida";RJ;131;Privada;153;10.65;140;12.93;50;13.52;130;1.18;120;1.67;39.95
"Universidade Federal do Amapá";AP;132;Federal;133;13.7;93;21.08;;;131;1.17;96;2.13;38.08
"Universidade Potiguar";RN;133;Privada;175;7.85;149;11.93;28;15.53;133;1.15;147;1.26;37.72
"Universidade do Estado de Minas Gerais";MG;134;Estadual;85;18.08;161;9.38;120;7.13;85;2.02;159;0.99;37.6
"Universidade Federal do Oeste do Pará";PA;135;Federal;173;8.21;74;25.01;;;108;1.7;65;2.67;37.59
"Universidade Federal do Oeste da Bahia";BA;136;Federal;111;15.42;125;16.46;154;4.02;191;0.04;126;1.57;37.51
"Universidade Federal do Sul da Bahia";BA;137;Federal;132;13.82;123;17.31;176;2.01;91;1.99;101;2.04;37.17
"Universidade de Uberaba";MG;138;Privada;99;16.32;166;8.77;87;10.14;138;1.13;182;0.66;37.02
"Universidade Metodista de São Paulo";SP;139;Privada;91;17.26;173;7.68;73;11.42;179;0.25;194;0.34;36.95
"Universidade Comunitária da Região de Chapecó";SC;140;Privada;141;12.3;131;15.16;120;7.13;152;0.81;150;1.24;36.64
"Universidade de Araraquara";SP;141;Privada;170;8.54;114;18.36;139;5.39;72;2.24;112;1.78;36.31
"Universidade Federal do Cariri";CE;142;Federal;104;15.83;121;17.6;192;0.55;180;0.24;110;1.83;36.05
"Universidade Fumec";MG;143;Privada;103;15.92;178;6.97;73;11.42;146;0.95;177;0.72;35.98
"Universidade da Integração Internacional da Lusofonia Afro-brasileira";CE;144;Federal;116;14.86;126;16.38;176;2.01;148;0.86;134;1.43;35.54
"Universidade de Cuiabá";MT;145;Privada;169;8.68;153;10.36;50;13.52;155;0.73;116;1.69;34.98
"Universidade Santo Amaro";SP;146;Privada;186;4.23;102;19.71;120;7.13;123;1.36;75;2.45;34.88
"Universidade Federal de Roraima";RR;147;Federal;131;13.9;134;14.91;154;4.02;171;0.41;130;1.52;34.76
"Universidade Regional Integrada do Alto Uruguai e das Missões";RS;148;Privada;167;8.78;136;14.56;104;8.59;108;1.7;176;0.73;34.36
"Universidade Franciscana";RS;149;Privada;144;12.11;129;15.38;139;5.39;170;0.45;161;0.96;34.29
"Universidade Professor Edson Antônio Velano";MG;150;Privada;143;12.21;151;11.46;120;7.13;78;2.14;164;0.92;33.86
"Universidade Católica de Santos";SP;151;Privada;88;17.77;171;7.99;120;7.13;;;167;0.89;33.78
"Universidade do Estado do Rio Grande do Norte";RN;152;Estadual;142;12.26;146;12.16;120;7.13;126;1.28;171;0.81;33.64
"Universidade Salgado de Oliveira";RJ;153;Privada;181;7.22;154;10;50;13.52;188;0.13;75;2.45;33.32
"Universidade Estadual do Norte do Paraná";PR;154;Estadual;104;15.83;155;9.95;139;5.39;128;1.19;184;0.63;32.99
"Universidade Paranaense";PR;155;Privada;135;13.13;163;9.27;104;8.59;125;1.29;192;0.38;32.66
"Universidade Federal da Integração Latino-americana";PR;156;Federal;177;7.73;117;17.92;176;2.01;56;2.5;93;2.18;32.34
"Universidade Estadual do Paraná";PR;157;Estadual;87;17.84;175;7.5;139;5.39;153;0.76;175;0.75;32.24
"Universidade Ceuma";MA;158;Privada;193;3.03;130;15.17;73;11.42;182;0.19;81;2.4;32.21
"Universidade Estadual do Rio Grande do Sul";RS;159;Estadual;134;13.49;141;12.75;176;2.01;86;2.01;107;1.93;32.19
"Universidade Federal do Sul e Sudeste do Pará";PA;160;Federal;110;15.52;144;12.36;192;0.55;68;2.36;143;1.32;32.11
"Universidade Estadual do Maranhão";MA;161;Estadual;191;3.43;137;13.92;73;11.42;86;2.01;158;1.1;31.88
"Universidade Regional do Noroeste do Estado do Rio Grande do Sul";RS;162;Privada;154;10.34;158;9.67;87;10.14;115;1.57;202;0.1;31.82
"Universidade Estadual Vale do Acaraú";CE;163;Estadual;149;10.97;147;12.07;120;7.13;164;0.54;172;0.8;31.51
"Universidade de Taubaté";SP;164;Municipal;158;9.56;148;11.96;120;7.13;150;0.82;132;1.49;30.96
"Universidade da Amazônia";PA;165;Privada;160;9.31;188;4.78;40;14.44;135;1.14;155;1.16;30.83
"Universidade Tuiuti do Paraná";PR;166;Privada;115;14.99;179;6.41;120;7.13;162;0.56;180;0.68;29.77
"Universidade de Marília";SP;167;Privada;146;11.76;157;9.71;120;7.13;183;0.18;166;0.9;29.68
"Universidade de Itaúna";MG;168;Privada;124;14.52;181;6.23;139;5.39;143;0.99;148;1.25;28.38
"Universidade de Mogi das Cruzes";SP;169;Privada;190;3.47;138;13.8;104;8.59;171;0.41;99;2.1;28.37
"Universidade Anhanguera";MS;170;Privada;166;8.83;177;7.04;87;10.14;94;1.96;195;0.3;28.27
"Universidade Católica de Petrópolis";RJ;171;Privada;100;16.22;192;4.26;120;7.13;184;0.16;195;0.3;28.07
"Universidade Católica do Salvador";BA;172;Privada;171;8.46;183;6.07;65;12.15;;;151;1.2;27.88
"Universidade Evangélica de Goiás";GO;173;Privada;188;4.13;160;9.5;104;8.59;110;1.68;86;2.28;26.18
"Universidade Brasil";SP;174;Privada;200;1.18;112;18.93;176;2.01;111;1.63;90;2.21;25.96
"Universidade Metropolitana de Santos";SP;175;Privada;157;10.11;174;7.63;154;4.02;96;1.93;105;1.96;25.65
"Universidade Ibirapuera";SP;176;Privada;192;3.14;119;17.8;192;0.55;190;0.11;22;3.35;24.95
"Universidade Municipal de São Caetano do Sul";SP;177;Municipal;121;14.69;194;4.22;154;4.02;184;0.16;184;0.63;23.72
"Universidade Castelo Branco";RJ;178;Privada;172;8.36;193;4.23;120;7.13;159;0.7;95;2.14;22.56
"Universidade de Vassouras";RJ;179;Privada;151;10.91;197;2.81;139;5.39;104;1.77;125;1.59;22.47
"Universidade Federal de Jataí";GO;180;Federal;174;7.98;176;7.18;176;2.01;116;1.56;167;0.89;19.62
"Universidade Anhanguera de São Paulo";SP;181;Privada;199;1.36;164;9.13;120;7.13;174;0.29;127;1.56;19.47
"Universidade Federal do Agreste de Pernambuco";PE;182;Federal;147;11.13;196;3.22;;;49;2.61;122;1.65;18.61
"Universidade do Vale do Sapucaí";MG;183;Privada;189;3.5;170;8.22;154;4.02;97;1.91;187;0.56;18.21
"Universidade Estadual de Ciências da Saúde de Alagoas";AL;184;Estadual;184;5.56;156;9.81;192;0.55;163;0.55;136;1.41;17.88
"Universidade Nilton Lins";AM;185;Privada;202;0.61;169;8.32;120;7.13;;;160;0.97;17.03
"Universidade de Cruz Alta";RS;186;Privada;195;2.46;165;8.94;154;4.02;142;1.05;189;0.51;16.98
"Universidade Vale do Rio Doce";MG;187;Privada;179;7.52;198;1.95;120;7.13;;;200;0.18;16.78
"Universidade de Rio Verde";GO;188;Municipal;194;2.68;182;6.09;139;5.39;118;1.52;170;0.82;16.5
"Universidade do Estado do Amapá";AP;189;Estadual;182;5.97;162;9.36;;;166;0.48;183;0.64;16.45
"Universidade Estadual de Alagoas";AL;190;Estadual;163;9.08;195;3.58;168;2.74;;;197;0.24;15.64
"Universidade do Contestado";SC;191;Privada;196;2.04;180;6.4;154;4.02;135;1.14;136;1.41;15.01
"Universidade Santa Úrsula";RJ;192;Privada;168;8.71;189;4.64;192;0.55;;;169;0.83;14.73
"Universidade Federal do Delta do Parnaíba";PI;193;Federal;176;7.75;186;4.99;;;174;0.29;141;1.36;14.39
"Universidade do Planalto Catarinense";SC;194;Privada;197;1.48;184;5.71;139;5.39;150;0.82;197;0.24;13.64
"Universidade Federal de Catalão";GO;195;Federal;165;8.92;201;1.53;176;2.01;;;180;0.68;13.14
"Universidade Cândido Mendes";RJ;196;Privada;201;0.65;199;1.93;87;10.14;;;201;0.15;12.87
"Universidade Iguaçu";RJ;197;Privada;198;1.46;186;4.99;154;4.02;;;92;2.19;12.66
"Universidade Estadual do Tocantins";TO;198;Estadual;185;4.81;185;5.04;176;2.01;165;0.49;203;0.09;12.44
"Universidade Alto Vale do Rio do Peixe";SC;199;Privada;178;7.57;202;1.45;176;2.01;;;178;0.71;11.74
"Universidade Estadual da Região Tocantina do Maranhão";MA;200;Estadual;183;5.93;190;4.62;192;0.55;;;188;0.55;11.65
"Universidade Estadual de Roraima";RR;201;Estadual;187;4.15;191;4.27;176;2.01;157;0.72;197;0.24;11.39
"Universidade Federal de Rondonópolis";MT;202;Federal;180;7.49;200;1.69;;;169;0.46;178;0.71;10.35
"Universidade de Gurupi";TO;203;Municipal;203;0.1;203;0.77;168;2.74;;;193;0.37;3.98
