Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
1,Universidade de São Paulo,Brazil,89.3,88.3,99.9,90,93.8,41.5
2,Universidade Estadual de Campinas,Brazil,87.7,88.7,99.5,86.9,76.5,38.6
3,Universidade Federal do Rio de Janeiro,Brazil,83.8,86.8,99.5,70.7,83.8,34.5
5,Universidade Estadual Paulista,Brazil,81.7,84.9,97.2,73.5,48.2,37
6,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,79.8,79.5,97.3,66.2,74.4,41.8
=7,Universidade Federal do Rio Grande do Sul,Brazil,78,78.7,90.7,77,55.9,32.8
10,Universidade Federal de Santa Catarina,Brazil,76.6,77.8,90.5,69.5,66,34
11,Universidade Federal de São Paulo,Brazil,74.6,75.8,90,66.2,54.8,32.6
13,Universidade Federal de Minas Gerais,Brazil,73.7,82,84.6,62.4,49.2,30
14,Universidade Federal de São Carlos,Brazil,73.5,76.6,87.9,65.1,51.3,29.2
16,Universidade Federal do Paraná,Brazil,68.6,76.9,81.8,50,47.3,31.8
17,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,66.9,73.1,78.8,50.2,58.5,34.3
18,Universidade de Brasília,Brazil,65.8,73.8,78.4,50,28.8,34.6
=19,Universidade do Estado do Rio de Janeiro,Brazil,64.5,78,74.2,45.8,29.4,27.1
=19,Universidade Federal do Ceará,Brazil,64.5,67.5,82,48.4,45.4,24.7
21,Universidade Federal de Pernambuco,Brazil,63,74.7,71.6,45.6,50.8,23.5
22,Universidade Federal do ABC,Brazil,62,54.4,76.4,65.1,26.2,44.3
23,Universidade Federal de Viçosa,Brazil,61.9,74.1,71.4,45.7,29.8,22.9
25,Universidade Federal de Lavras,Brazil,60.4,65.3,71.5,52.3,29.1,26.4
26,Universidade Federal Fluminense,Brazil,59.6,60.3,74.2,51.6,26.9,29.1
27,Universidade Federal de Santa Maria,Brazil,59.4,68.4,62.6,57.9,28.5,23.7
29,Universidade Federal da Bahia,Brazil,58.8,69.5,69.8,40.8,22.5,26.9
34,Universidade Federal do Rio Grande do Norte,Brazil,56.7,60.8,66.9,46.6,33.7,30.9
38,Universidade Estadual de Maringá,Brazil,54.1,61.4,65.3,40.9,26,20.8
42,Universidade Federal de Pelotas,Brazil,52,45.7,67.8,53.5,24.3,21.6
=43,Universidade do Vale do Rio dos Sinos,Brazil,51.9,51,65.8,42.7,36.2,27
45,Universidade Estadual de Londrina,Brazil,50.8,60.1,57.5,37.2,34.5,22.6
46,Pontifícia Universidade Católica do Paraná,Brazil,50.1,44.4,60,52.4,44.5,29.1
48,Universidade Federal de Uberlândia,Brazil,49.8,53.6,57.3,42.1,42.3,22.5
49,Universidade Federal do Espírito Santo,Brazil,49.2,50.3,56.5,43.7,46.9,27.3
54,Universidade Federal de Juiz de Fora,Brazil,47.4,48.2,54.1,47.3,23.1,27.1
56,Universidade Federal de Goiás,Brazil,46.3,55.1,48.8,39,25.1,25.6
59,Universidade Federal do Pará,Brazil,45.9,46.2,56,41.3,23.3,23.6
60,Universidade do Estado de Santa Catarina,Brazil,45.7,57.7,50,31.7,23,20.3
69,Universidade Tecnológica Federal do Paraná,Brazil,42.6,38.6,48.2,46.5,46,23.8
=70,Universidade Federal de Ciências da Saúde de Porto Alegre,Brazil,42.5,36.8,51.1,47.3,28.8,25.2
75,Universidade Federal Rural de Pernambuco,Brazil,41.6,49.4,43,36.7,21.9,22.9
76,Pontifícia Universidade Católica de Campinas,Brazil,41.3,54.5,50.1,15.5,18.3,21.5
=78,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,40.6,44.8,40.7,39.5,21.2,33.8
=94,Universidade Católica de Brasília,Brazil,37,42.7,39.5,26.2,20.9,35.9
99,Universidade Federal de Itajubá,Brazil,35.5,36.2,37.1,37.3,25.9,26.4
101–125,Universidade Estadual do Ceará,Brazil,29.3–35.3,39.6,32.5,18.6,18.5,19
101–125,Universidade Federal de Mato Grosso do Sul,Brazil,29.3–35.3,32.2,31.2,43.2,35.9,28.1
101–125,Universidade Presbiteriana Mackenzie,Brazil,29.3–35.3,38.7,37,19.7,24.6,27.3
101–125,Pontifícia Universidade Católica de Minas Gerais,Brazil,29.3–35.3,36.4,32.4,23.9,20,22.9
101–125,Universidade Estadual de Ponta Grossa,Brazil,29.3–35.3,39.2,33.6,33.9,19,24.6
101–125,Universidade Estadual de Santa Cruz,Brazil,29.3–35.3,31.2,28.1,28.7,19.6,39.2
101–125,Universidade Estadual do Oeste do Paraná,Brazil,29.3–35.3,43.4,29.3,16,18,19.7
101–125,Universidade Federal de Sergipe,Brazil,29.3–35.3,30.9,37.2,32.7,21.2,26.7
101–125,Universidade Federal do Maranhão,Brazil,29.3–35.3,30.2,33.1,27.7,25.6,21
101–125,Universidade de Passo Fundo,Brazil,29.3–35.3,30.7,32,44.6,18.3,25.4
126–150,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Brazil,24.7–29.1,21.1,28.1,33.9,17.6,28.7
126–150,Universidade Federal da Grande Dourados,Brazil,24.7–29.1,33.3,25.4,17.6,19.3,21.6
126–150,Universidade de Fortaleza,Brazil,24.7–29.1,26.8,23.5,28.2,17.7,30.5
126–150,Universidade de Pernambuco,Brazil,24.7–29.1,26.5,32.3,27.7,18.9,23.2
126–150,Universidade do Vale do Itajaí,Brazil,24.7–29.1,25.7,30.4,26.5,18.6,30.9
151+,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",Brazil,13.2–24.5,35.1,15.8,10.5,16.2,20.2
151+,Universidade Positivo,Brazil,13.2–24.5,24.3,15,15.5,16.6,26.3
151+,Universidade do Estado da Bahia,Brazil,13.2–24.5,28,17.8,9.5,16.8,19
151+,Universidade do Extremo Sul Catarinense,Brazil,13.2–24.5,21.5,15.2,27.5,21.7,27.6
151+,Centro Universitário Christus,Brazil,13.2–24.5,22.9,13.2,9.9,16,19.1
151+,Universidade Estadual de Feira de Santana,Brazil,13.2–24.5,28.2,20.6,22.6,17.7,24.6
151+,Universidade Estadual do Maranhão,Brazil,13.2–24.5,22.1,21.4,12.7,15.9,20.4
151+,Universidade Federal Rural do Semi-Árido,Brazil,13.2–24.5,26.8,20.5,11.5,16.7,17.7
151+,Universidade Nove de Julho,Brazil,13.2–24.5,19.9,15.4,17.3,17.9,25.8
151+,Universidade de Caxias do Sul,Brazil,13.2–24.5,28,23.3,21.5,21.3,21.3
151+,Universidade de Franca,Brazil,13.2–24.5,20.5,21.1,12.4,17,19
151+,Universidade do Oeste Paulista,Brazil,13.2–24.5,23.1,13.2,20,16.4,18.2
151+,Universidade Vila Velha,Brazil,13.2–24.5,23.7,22.5,18.5,16,20.4
